id,scope_group,loo_euclidean_distance,loo_mahalanobis_distance,q50,q90,q95,inside_q90,inside_q95
2a,naphthyl,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2b,naphthyl,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2c,naphthyl,0.6240199689585151,0.6579818221279176,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2d,alkyl_series,0.09784699747652398,0.11047175417387313,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2e,alkyl_series,1.015942525431258,1.2204863573389642,0.2772331595168179,0.7225010186897468,1.015942525431258,False,True
2f,alkyl_series,0.6240199689585151,0.6579818221279176,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2g,alkyl_series,0.6240199689585151,0.6579818221279176,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2h,para_edg,0.2772331595168179,0.3130033034926405,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2i,para_edg,0.644977102764134,0.689004433541809,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2j,biphenyl,0.7225010186897468,0.8076699867665039,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2k,biphenyl,0.7225010186897468,0.8076699867665039,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2l,para_ewg,0.7118165840789532,0.7739521290748551,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2m,para_ewg,0.04892349873826188,0.05523587708693645,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2n,para_ewg,0.6410479702940495,0.6732761620716491,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2o,para_halogen,0.09784699747652398,0.11047175417387313,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2p,para_halogen,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2q,para_halogen,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2r,meta_halogen,0.03261566582550803,0.036823918057957754,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2s,meta_halogen,0.03261566582550803,0.036823918057957754,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2t,ortho_halogen,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2u,ortho_halogen,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2v,ortho_halogen,0.0,0.0,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2w,polyhalogen,0.37508015699334185,0.4234750576665136,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2x,polyhalogen,0.7225010186897468,0.7847927630621621,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2y,polyhalogen,0.04892349873826188,0.05523587708693645,0.2772331595168179,0.7225010186897468,1.015942525431258,True,True
2z,cyclic_benzylic,2.223346488369226,1.9766587445467803,0.2772331595168179,0.7225010186897468,1.015942525431258,False,False
