target,delta_definition,observed_delta,bootstrap_ci95_low,bootstrap_ci95_high,probability_model_better,iterations,resampling_unit
yield,model_MAE_minus_mean_baseline_MAE; negative favors model,0.5384054864708023,-1.888071187267687,3.242742754682466,0.3452,10000,scope_group
ee,model_MAE_minus_mean_baseline_MAE; negative favors model,-0.8871304714327515,-2.9905176708534773,0.9987648868648468,0.8,10000,scope_group
