target,scope_group,interval_source,n,mae,selected_half_width,global_half_width,observed_coverage
ee,alkyl_series,group,4,4.5112193823654,9.522524514241326,20.864920526675064,1.0
ee,biphenyl,global_fallback,2,4.826951394365501,20.864920526675064,20.864920526675064,1.0
ee,cyclic_benzylic,global_fallback,1,13.731635640570516,20.864920526675064,20.864920526675064,1.0
ee,meta_halogen,global_fallback,2,2.180278537835683,20.864920526675064,20.864920526675064,1.0
ee,naphthyl,global_fallback,3,5.616694234264401,20.864920526675064,20.864920526675064,1.0
ee,ortho_halogen,global_fallback,3,7.046125467370568,20.864920526675064,20.864920526675064,1.0
ee,para_edg,global_fallback,2,12.535411885622139,20.864920526675064,20.864920526675064,1.0
ee,para_ewg,global_fallback,3,18.727514775490658,20.864920526675064,20.864920526675064,0.6666666666666666
ee,para_halogen,global_fallback,3,5.949272262616745,20.864920526675064,20.864920526675064,1.0
ee,polyhalogen,global_fallback,3,1.5318704237340957,20.864920526675064,20.864920526675064,1.0
yield,alkyl_series,global_fallback,4,19.054823761218948,25.470868506865955,25.470868506865955,0.75
yield,biphenyl,global_fallback,2,18.121117462833638,25.470868506865955,25.470868506865955,1.0
yield,cyclic_benzylic,global_fallback,1,12.182805602167832,25.470868506865955,25.470868506865955,1.0
yield,meta_halogen,global_fallback,2,1.4764836674205668,25.470868506865955,25.470868506865955,1.0
yield,naphthyl,global_fallback,3,13.164254275915303,25.470868506865955,25.470868506865955,1.0
yield,ortho_halogen,global_fallback,3,5.599942121001949,25.470868506865955,25.470868506865955,1.0
yield,para_edg,global_fallback,2,1.536646692178877,25.470868506865955,25.470868506865955,1.0
yield,para_ewg,global_fallback,3,4.901678108931672,25.470868506865955,25.470868506865955,1.0
yield,para_halogen,global_fallback,3,3.2668036308138113,25.470868506865955,25.470868506865955,1.0
yield,polyhalogen,global_fallback,3,4.948319353216637,25.470868506865955,25.470868506865955,1.0
