target,scope_group,n,mae,raw_half_width,selected_half_width,global_half_width,interval_source,minimum_group_size
ee,alkyl_series,4,3.8066500669270837,6.970625341436431,6.970625341436431,23.112036434120867,group,4
ee,biphenyl,2,2.717594266507426,4.7946240436210985,23.112036434120867,23.112036434120867,global_fallback,4
ee,cyclic_benzylic,1,10.674160858224056,10.674160858224056,23.112036434120867,23.112036434120867,global_fallback,4
ee,meta_halogen,2,2.004080401789743,2.0677886833671124,23.112036434120867,23.112036434120867,global_fallback,4
ee,naphthyl,3,2.634585383535409,2.7281565642335863,23.112036434120867,23.112036434120867,global_fallback,4
ee,ortho_halogen,3,2.163656416961222,3.49096925088368,23.112036434120867,23.112036434120867,global_fallback,4
ee,para_edg,2,14.030872130640958,23.112036434120867,23.112036434120867,23.112036434120867,global_fallback,4
ee,para_ewg,3,18.34075640847806,45.20735289367137,23.112036434120867,23.112036434120867,global_fallback,4
ee,para_halogen,3,7.862729075582702,12.15437144736164,23.112036434120867,23.112036434120867,global_fallback,4
ee,polyhalogen,3,1.4204516014652597,3.5677735278989218,23.112036434120867,23.112036434120867,global_fallback,4
yield,alkyl_series,4,14.666332814559627,30.275319910590497,20.964124242345378,20.964124242345378,global_fallback,4
yield,biphenyl,2,18.121117462833638,18.678358454233376,20.964124242345378,20.964124242345378,global_fallback,4
yield,cyclic_benzylic,1,12.182805602167832,12.182805602167832,20.964124242345378,20.964124242345378,global_fallback,4
yield,meta_halogen,2,1.4764836674205668,1.5113901099520035,20.964124242345378,20.964124242345378,global_fallback,4
yield,naphthyl,3,13.164254275915303,20.964124242345378,20.964124242345378,20.964124242345378,global_fallback,4
yield,ortho_halogen,3,5.599942121001949,7.663580572789854,20.964124242345378,20.964124242345378,global_fallback,4
yield,para_edg,2,1.536646692178877,2.0122707044836545,20.964124242345378,20.964124242345378,global_fallback,4
yield,para_ewg,3,4.901678108931672,6.810545880084263,20.964124242345378,20.964124242345378,global_fallback,4
yield,para_halogen,3,3.2668036308138113,4.848934699430757,20.964124242345378,20.964124242345378,global_fallback,4
yield,polyhalogen,3,4.948319353216637,10.12675767707357,20.964124242345378,20.964124242345378,global_fallback,4
