target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
ee,knn|mechanistic_full|k=6|transformed=False,knn,mechanistic_full,False,,6,False,,,,7.298196854150005,11.444527364888113,4.759699826472854,44.77133897508669,0.6512955967745504,-0.012864826409751506,0.3794520249557197
ee,knn|physchem_compact|k=6|transformed=False,knn,physchem_compact,False,,6,False,,,,7.2991288549862,11.008894600809215,5.81097354018096,37.7930353743902,3.006186179630858,0.06277644842766805,0.13645149810454776
ee,knn|physchem_compact|k=6|transformed=True,knn,physchem_compact,False,,6,True,,,,7.38018627413307,11.384154244381305,5.388129539342607,40.18648936435855,3.978553779345274,-0.0022067158560066247,0.14091968318101908
ee,knn|mechanistic_full|k=2|transformed=False,knn,mechanistic_full,False,,2,False,,,,7.386522805675337,12.24259999332125,3.5455190349526617,44.999999999999986,2.2416570462102756,-0.15905244013925768,0.4216726451813572
ee,ridge|discriminating_2d|alpha=1.0,ridge,discriminating_2d,True,1.0,,,,,,7.400398347372209,11.819582719642545,4.609846806105608,46.26751216593115,3.4489717072084423,-0.08033900098992786,0.5397115408897382
ee,knn|physchem_compact|k=4|transformed=True,knn,physchem_compact,False,,4,True,,,,7.402479386573327,11.051618111977932,5.394537282768603,37.815773984353456,3.243032694329623,0.05548794596335804,0.1930242230634318
ee,knn|physchem_compact|k=5|transformed=True,knn,physchem_compact,False,,5,True,,,,7.458946697126048,11.120922099622696,5.52378575165357,38.035974454038424,3.4261335954903425,0.04360485446814666,0.1746029245267261
ee,knn|physchem_compact|k=5|transformed=False,knn,physchem_compact,False,,5,False,,,,7.556670603146325,10.869515335962156,6.107702708841288,35.81099533355284,2.539876770354759,0.08635785417117747,0.148481227156586
ee,knn|physchem_compact|k=4|transformed=False,knn,physchem_compact,False,,4,False,,,,7.6123849011651235,10.802178222934579,6.229824562021932,35.100805922284934,2.2735465953221166,0.09764289435128093,0.1868364474353966
ee,ridge|mechanistic_full|alpha=0.3,ridge,mechanistic_full,False,0.3,,,,,,7.7387521549741916,13.459576589890437,3.2231959770672205,46.661928794751034,1.523828059244714,-0.4009368598184504,0.49287518458922286
ee,knn|physchem_compact|k=3|transformed=True,knn,physchem_compact,False,,3,True,,,,7.892096631533766,11.295554212765479,6.068501660584886,37.461545049762464,2.6287676749941635,0.013332428821929865,0.19989952931680427
ee,knn|physchem_compact|k=3|transformed=False,knn,physchem_compact,False,,3,False,,,,8.013014864409524,10.997472917335706,5.942605843147234,33.971883469602446,1.7391936045128467,0.06472017086515225,0.20608730494483948
ee,ridge|physchem_compact|alpha=10.0,ridge,physchem_compact,False,10.0,,,,,,8.01679695996315,11.6798210940059,6.64655364180981,35.75759722302419,0.4010264692601628,-0.05494094047631992,0.3801394380444076
ee,knn|physchem_compact|k=2|transformed=False,knn,physchem_compact,False,,2,False,,,,8.030076246475014,11.200462541981622,6.249999999999993,31.89325616609861,0.9771429641094144,0.029875032713354566,0.35018485720519704
ee,knn|physchem_compact|k=2|transformed=True,knn,physchem_compact,False,,2,True,,,,8.061263059232477,11.59663184509202,6.122389919007055,36.79568720011551,1.774686539979641,-0.039966873590729035,0.3422885307903029
ee,ridge|mechanism_hybrid|alpha=0.3,ridge,mechanism_hybrid,False,0.3,,,,,,8.176513811856294,13.393374428607919,2.6427010182242725,42.18010376984721,-0.989018473127277,-0.38718947931024794,0.6007990395132229
ee,ridge|steric_hybrid|alpha=1.0,ridge,steric_hybrid,False,1.0,,,,,,9.013634904795612,12.459272767490432,6.877049393516643,42.2344813458526,2.3579462260456947,-0.20044192203757438,0.3880446885643184
