pair,purpose,naphthyl_position_left,naphthyl_position_right,centre_charge_left,centre_charge_right,B5_left,B5_right,descriptor_vector_differs
2a/2b,naphthyl_position,2,1,0.0135397678241133,0.0188687667250633,4.479033788035606,5.720460792701538,True
2m/2n,strong_para_EWG,0,0,0.0170656871050596,0.0179701708257198,3.980577847499029,3.9757032292897656,True
2p/2q,para_halogen,0,0,0.0152918193489313,0.0154808051884174,3.977277851750876,3.977277851750876,True
2t/2u,ortho_halogen,0,0,0.0109551958739757,0.0095173204317688,4.497220505424423,4.747234707079558,True
