record_id,screen_axis,entry,photocatalyst,pc_mol_pct,copper_source,cu_mol_pct,ligand,ligand_mol_pct,solvent,temp_c,scale_mmol,time_h,light_nm,yield_status,yield_pct,ee_pct,source_table,source_pdf_page,source_doi,model_role,notes,temperature_k,solvent_smiles,solvent_dielectric_constant,solvent_reichardt_et30_kcal_mol,solvent_descriptor_quality,solvent_dielectric_source,solvent_et30_source,photocatalyst_class,copper_oxidation_state_nominal,copper_ligand_class,copper_contains_cyanide,ligand_family,fixed_deoxygenation_reagent,fixed_cyanide_source,reaction_family,solvent_id_ch3cn,solvent_id_chcl3,solvent_id_dce,solvent_id_dcm,solvent_id_mtbe,solvent_id_phcl,solvent_id_acetone,pc_class_ir_cationic_cyclometalated,pc_class_ir_neutral_cyclometalated,pc_class_none,pc_class_organic_donor_acceptor,pc_class_organic_hydrocarbon,pc_class_organic_quinone,pc_class_organic_xanthene,copper_id_cu_ch3cn_4bf4,copper_id_cu_ch3cn_4pf6,copper_id_cubr,copper_id_cubr2,copper_id_cucn,copper_id_cucl,copper_id_cucl2,ligand_id_l1,ligand_id_l2,ligand_id_l3,ligand_id_l4,ligand_id_l5,ligand_id_l6
PC-04,photocatalyst,4,Eosin Y,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",organic_xanthene,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
PC-05,photocatalyst,5,"5,7,12,14-Pentacenetetrone",1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",organic_quinone,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PC-06,photocatalyst,6,"9,10-Diphenylanthracene",1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",organic_hydrocarbon,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CU-01,copper_source,1,fac-Ir(ppy)3,1,CuBr,5,L1,6,DCM,25,0.1,12,450-465,measured,82.0,88.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,halide,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CU-02,copper_source,2,fac-Ir(ppy)3,1,CuCl2,5,L1,6,DCM,25,0.1,12,450-465,measured,47.0,88.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,2,halide,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CU-03,copper_source,3,fac-Ir(ppy)3,1,CuBr2,5,L1,6,DCM,25,0.1,12,450-465,measured,72.0,88.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,2,halide,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CU-04,copper_source,4,fac-Ir(ppy)3,1,CuCl,5,L1,6,DCM,25,0.1,12,450-465,measured,80.0,87.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,halide,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CU-05,copper_source,5,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90.0,90.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CU-06,copper_source,6,fac-Ir(ppy)3,1,Cu(CH3CN)4BF4,5,L1,6,DCM,25,0.1,12,450-465,measured,45.0,88.0,Table S3,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CU-07,copper_source,7,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50.0,88.0,Table S3,17,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as SOLV-02,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
