id,descriptor_engine,descriptor_semantics,canonical_smiles,reaction_centre_atom_index,nitrile_count,gasteiger_centre_charge,gasteiger_nitrile_c_charge,gasteiger_aryl_attachment_charge,gasteiger_max_abs_charge,centre_crippen_logp_contrib,centre_crippen_mr_contrib,mol_logp,mol_mr,mol_tpsa,mol_fraction_csp3,mol_rotatable_bonds,mol_bertz_complexity,mol_heavy_atoms,mol_heteroatoms,centre_heavy_degree,centre_aromatic_neighbours,centre_radius2_atomic_number_sum,centre_radius2_heavy_count,min_hetero_topological_distance
2q,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(Br)cc1,1,1,0.06841258593052406,0.07003550198663855,-0.03101137312744965,0.19769884444654973,0.1193,2.582,3.0761800000000017,48.170000000000016,23.79,0.2222222222222222,1.0,270.609361715645,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2r,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccc(Cl)c1,1,1,0.06846294816399257,0.07003640261237633,-0.029608565165569346,0.19769883736782806,0.1193,2.582,2.967080000000001,45.48000000000002,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2s,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccc(Br)c1,1,1,0.06845034669063566,0.07003617952554063,-0.029967435291041625,0.19769883911315442,0.1193,2.582,3.0761800000000017,48.17000000000002,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2t,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccccc1Cl,1,1,0.06986367226174706,0.07009208144304639,-0.012407331926149753,0.19769790897168593,0.1193,2.582,2.967080000000001,45.48000000000002,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2u,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccccc1Br,1,1,0.0695068070602829,0.07007809720652042,-0.016838425238022238,0.19769814068296881,0.1193,2.582,3.0761800000000017,48.170000000000016,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2v,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccccc1F,1,1,0.07128370792616047,0.07014837559014757,0.004719134913240801,0.20667944199185684,0.1193,2.582,2.4527800000000006,40.42800000000002,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
2w,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(Cl)cc1Cl,1,1,0.06986546752250572,0.07009209643480457,-0.012301222045335961,0.19769790891496344,0.1193,2.582,3.6204800000000015,50.490000000000016,23.79,0.2222222222222222,1.0,327.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
2x,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1c(Cl)cccc1Cl,1,1,0.07134397779829926,0.07014964813056139,0.006235692004654983,0.19769695840797827,0.1193,2.582,3.6204800000000015,50.49000000000002,23.79,0.2222222222222222,1.0,307.540687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
2y,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(Br)c(F)c1,1,1,0.06851500490252381,0.07003731610118577,-0.028098089530438675,0.20577249962920924,0.1193,2.582,3.2152800000000017,48.128000000000014,23.79,0.2222222222222222,1.0,329.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
2z,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,N#CC1CCCc2ccccc21,2,1,0.0715086021179366,0.07034051308534105,-0.027599184992468977,0.19768745150143174,0.1193,2.582,2.6300800000000013,47.73400000000003,23.79,0.36363636363636365,0.0,322.021151849827,12.0,1.0,3.0,1.0,43.0,7.0,2.0
3a,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccs1,1,1,0.07775271933967744,0.07090466205132066,0.0214273551831083,0.19766709451524433,0.1193,2.582,2.3751800000000003,38.347000000000016,23.79,0.2857142857142857,1.0,207.3200645787502,9.0,2.0,3.0,1.0,47.0,6.0,2.0
3b,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,N#CC1CCCc2ccc(Cl)nc21,2,1,0.08879278072471941,0.07201034753503294,0.0624893422320933,0.2394846572771642,0.1193,2.582,2.6784800000000004,50.53900000000002,36.68,0.4,0.0,367.6777620755222,13.0,3.0,3.0,1.0,44.0,7.0,2.0
3c,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,N#CC1CCc2ccccc2C1=O,2,1,0.10974137293933293,0.07390367036979216,0.0,0.2927202274675461,0.0,2.433,1.95528,48.19650000000002,40.86,0.2727272727272727,0.0,389.3219067848297,13.0,2.0,3.0,0.0,45.0,7.0,2.0
3d,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,C[Si](C)(C)C#CC(C#N)CCc1ccccc1,6,1,0.10674381107559572,0.07863311167971652,0.0,0.19698473213441223,0.0,2.433,3.6397800000000027,74.98800000000004,23.79,0.4,3.0,439.7857682688774,17.0,2.0,3.0,0.0,37.0,6.0,2.0
